	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9718	0.8521	0.732	0.7824	0.722	0.8121
2	0.9497	0.8314	0.7816	0.784	0.6493	0.7992
3	0.9532	0.8449	0.8039	0.9144	0.6675	0.8368
4	0.9325	0.8054	0.8059	0.8172	0.6978	0.8118
5	0.9669	0.8032	0.8567	0.8295	0.6979	0.8308
6	0.9476	0.8521	0.8293	0.8678	0.7432	0.848
7	0.9664	0.8754	0.7996	0.8305	0.7959	0.8536
8	0.9487	0.8271	0.8266	0.7998	0.6787	0.8162
9	0.956	0.8724	0.8131	0.7692	0.6375	0.8096
10	0.9678	0.8826	0.8749	0.9064	0.7628	0.8789
SD	0.0122	0.0279	0.0395	0.0511	0.0508	0.0363
Average	0.9561	0.8447	0.8124	0.8301	0.7053	0.8297
