	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7907	0.741	0.7083	0.8319	0.4954	0.7134
2	0.8402	0.7392	0.7228	0.8333	0.5697	0.741
3	0.772	0.7745	0.7937	0.8939	0.4651	0.7398
4	0.7636	0.7167	0.666	0.8618	0.4285	0.6873
5	0.8473	0.7179	0.8177	0.8506	0.543	0.7553
6	0.7659	0.7336	0.7539	0.9096	0.5134	0.7353
7	0.7923	0.7754	0.7508	0.8506	0.5136	0.7365
8	0.8407	0.7524	0.772	0.841	0.5331	0.7478
9	0.8431	0.7376	0.7823	0.7938	0.5139	0.7341
10	0.8068	0.7874	0.7597	0.8935	0.6198	0.7735
SD	0.0341	0.0244	0.0442	0.035	0.053	0.0381
Average	0.8063	0.7476	0.7527	0.856	0.5195	0.7364
