	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0053	-0.0732	-0.0003	-0.0433	-0.0735	-0.0391
2	-0.0042	-0.0533	-0.012	-0.0563	-0.0169	-0.0286
3	-0.006	-0.0724	-0.016	-0.042	-0.0318	-0.0337
4	-0.0164	-0.0708	-0.0139	-0.0303	-0.0428	-0.0348
5	-0.0031	-0.0329	-0.0107	-0.0468	-0.0495	-0.0286
6	-0.0071	-0.048	-0.0122	-0.0485	-0.0402	-0.0312
7	-0.0098	-0.0585	-0.0065	-0.0332	-0.0102	-0.0237
8	-0.0097	-0.0316	-0.0034	0.0039	-0.0437	-0.0169
9	-0.0047	-0.0775	-0.0016	-0.0534	-0.0759	-0.0427
10	-0.0032	-0.0899	0.0117	-0.067	0.0041	-0.0289
SD	0.003	-0.002	0.0011	-0.0011	0.0127	0.0027
Average	-0.007	-0.0608	-0.0065	-0.0416	-0.038	-0.0308
