	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.002	0.0159	-0.0372	-0.056	-0.0219	-0.0202
2	-0.0007	-0.0064	-0.0061	-0.0537	-0.0466	-0.0227
3	-0.0034	-0.0034	-0.0429	-0.0175	-0.0657	-0.0266
4	0.0004	-0.0168	0.0091	-0.058	-0.0722	-0.0274
5	-0.0005	-0.0005	-0.0171	-0.0264	-0.0007	-0.0091
6	-0.0045	-0.0258	-0.0198	-0.031	-0.0046	-0.0171
7	-0.0029	-0.0104	-0.0189	-0.0402	0.0047	-0.0135
8	-0.0007	-0.0116	0.0014	-0.0324	-0.0288	-0.0144
9	0.0005	-0.0109	-0.0363	-0.0658	-0.0996	-0.0425
10	0.0029	0.0046	0.0271	-0.0092	0.0148	0.008
SD	-0.0001	-0.0006	0.0063	0.0151	0.0203	0.0082
Average	-0.0011	-0.0065	-0.014	-0.039	-0.032	-0.0185
