	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.1831	-0.0952	-0.0609	-0.0065	-0.2485	-0.1189
2	-0.1102	-0.0986	-0.0649	-0.0044	-0.1262	-0.0809
3	-0.1846	-0.0738	-0.0531	-0.038	-0.2681	-0.1236
4	-0.1685	-0.1055	-0.1308	-0.0134	-0.3415	-0.1519
5	-0.1201	-0.0858	-0.0561	-0.0053	-0.1556	-0.0846
6	-0.1862	-0.1443	-0.0952	0.0108	-0.2344	-0.1298
7	-0.177	-0.1104	-0.0677	-0.0201	-0.2776	-0.1306
8	-0.1087	-0.0863	-0.0532	0.0088	-0.1744	-0.0828
9	-0.1124	-0.1457	-0.0671	-0.0412	-0.2232	-0.118
10	-0.1581	-0.0906	-0.0881	-0.0221	-0.1282	-0.0974
SD	0.0218	-0.0041	0.011	-0.001	0.0225	0.01
Average	-0.1509	-0.1036	-0.0737	-0.0131	-0.2178	-0.1118
