	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9738	0.8362	0.7692	0.8384	0.7439	0.8323
2	0.9504	0.8378	0.7877	0.8377	0.6959	0.8219
3	0.9566	0.8483	0.8468	0.9319	0.7332	0.8634
4	0.9321	0.8222	0.7968	0.8752	0.77	0.8392
5	0.9674	0.8037	0.8738	0.8559	0.6986	0.8399
6	0.9521	0.8779	0.8491	0.8988	0.7478	0.8651
7	0.9693	0.8858	0.8185	0.8707	0.7912	0.8671
8	0.9494	0.8387	0.8252	0.8322	0.7075	0.8306
9	0.9555	0.8833	0.8494	0.835	0.7371	0.8521
10	0.9649	0.878	0.8478	0.9156	0.748	0.8709
SD	0.0123	0.0285	0.0332	0.036	0.0305	0.0281
Average	0.9572	0.8512	0.8264	0.8691	0.7373	0.8482
