	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.909	0.7779	0.7375	0.7493	0.6867	0.7721
2	0.9078	0.7588	0.7195	0.7601	0.7399	0.7772
3	0.9035	0.7569	0.7671	0.756	0.681	0.7729
4	0.8981	0.7764	0.6835	0.7313	0.6544	0.7488
5	0.9141	0.7948	0.7406	0.7799	0.7076	0.7874
6	0.9056	0.7642	0.7161	0.7577	0.7056	0.7698
7	0.9134	0.7915	0.7471	0.7823	0.7161	0.7901
8	0.92	0.7938	0.7509	0.7562	0.712	0.7866
9	0.9183	0.7604	0.7291	0.7331	0.6752	0.7632
10	0.9076	0.7729	0.7141	0.7392	0.7054	0.7679
SD	0.0182	0.044	0.0569	0.0547	0.0512	0.045
Average	0.9097	0.7747	0.7305	0.7545	0.6984	0.7736

