	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9252	0.8235	0.763	0.8122	0.6994	0.8047
2	0.9227	0.818	0.7432	0.8271	0.7508	0.8124
3	0.9123	0.804	0.7564	0.8157	0.7023	0.7981
4	0.9111	0.8165	0.7024	0.7961	0.6643	0.7781
5	0.9291	0.8365	0.7434	0.8129	0.7098	0.8063
6	0.9263	0.8207	0.738	0.8207	0.7176	0.8047
7	0.9286	0.8335	0.7541	0.8268	0.7286	0.8143
8	0.9296	0.8413	0.751	0.815	0.7178	0.8109
9	0.927	0.8072	0.7266	0.7814	0.6881	0.7861
10	0.924	0.8379	0.7443	0.8011	0.7174	0.805
SD	0.0169	0.0407	0.0504	0.0415	0.0527	0.0405
Average	0.9236	0.8239	0.7422	0.8109	0.7096	0.802

