	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.6525	0.6926	0.6913	0.7718	0.5333	0.6683
2	0.6522	0.6811	0.6727	0.779	0.5528	0.6676
3	0.6078	0.6637	0.6785	0.7807	0.5531	0.6568
4	0.6829	0.6806	0.6221	0.7489	0.5194	0.6508
5	0.5992	0.6557	0.6458	0.7511	0.4713	0.6246
6	0.6025	0.6669	0.6439	0.7414	0.5301	0.637
7	0.61	0.7044	0.6878	0.7789	0.5619	0.6686
8	0.6762	0.6929	0.6782	0.7446	0.5238	0.6631
9	0.647	0.6789	0.7036	0.7669	0.5302	0.6653
10	0.6598	0.6916	0.6535	0.7455	0.5495	0.66
SD	0.0671	0.0588	0.0672	0.048	0.0873	0.0657
Average	0.639	0.6808	0.6678	0.7609	0.5325	0.6562

