	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0158	-0.049	-0.0313	-0.076	-0.0152	-0.0375
2	-0.0139	-0.0606	-0.0356	-0.0836	-0.0146	-0.0417
3	-0.0101	-0.0503	-0.0114	-0.0778	-0.0142	-0.0328
4	-0.0112	-0.0447	-0.0201	-0.0752	-0.0125	-0.0327
5	-0.0158	-0.0435	-0.022	-0.059	-0.0104	-0.0302
6	-0.0219	-0.0568	-0.0342	-0.0761	-0.0156	-0.041
7	-0.0157	-0.0423	-0.0217	-0.0629	-0.0118	-0.0309
8	-0.0096	-0.0495	-0.0195	-0.0727	-0.0114	-0.0326
9	-0.0105	-0.0489	-0.0273	-0.0753	-0.0138	-0.0352
10	-0.0161	-0.0651	-0.0377	-0.0801	-0.0153	-0.0428
SD	0.0009	0.0041	0.0039	0.0159	-0.0	0.005
Average	-0.0141	-0.0511	-0.0261	-0.0739	-0.0135	-0.0357

