	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0004	-0.0034	-0.0058	-0.0131	-0.0024	-0.0049
2	0.001	-0.0015	-0.0119	-0.0166	-0.0037	-0.0066
3	-0.0012	-0.0032	-0.0221	-0.0181	0.0071	-0.0075
4	0.0018	-0.0047	-0.0012	-0.0103	-0.0026	-0.0034
5	-0.0009	-0.0018	-0.0192	-0.026	-0.0082	-0.0113
6	-0.0012	-0.0002	-0.0124	-0.013	-0.0036	-0.0061
7	-0.0006	-0.0002	-0.0147	-0.0184	0.0007	-0.0067
8	-0.0001	-0.0019	-0.0194	-0.0139	-0.0056	-0.0082
9	-0.0018	-0.0021	-0.0298	-0.027	-0.0009	-0.0123
10	0.0003	-0.0001	-0.0074	-0.0182	-0.0033	-0.0057
SD	-0.0004	0.0009	-0.0027	0.0027	0.0015	0.0004
Average	-0.0002	-0.0019	-0.0144	-0.0174	-0.0023	-0.0073

