	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.2723	-0.1343	-0.0775	-0.0536	-0.1686	-0.1412
2	-0.2695	-0.1384	-0.0824	-0.0646	-0.2017	-0.1513
3	-0.3057	-0.1435	-0.1	-0.0531	-0.1421	-0.1489
4	-0.2264	-0.1405	-0.0815	-0.0576	-0.1475	-0.1307
5	-0.3308	-0.1825	-0.1168	-0.0878	-0.2468	-0.1929
6	-0.325	-0.1541	-0.1064	-0.0923	-0.1911	-0.1738
7	-0.3192	-0.1293	-0.081	-0.0663	-0.166	-0.1524
8	-0.2535	-0.1504	-0.0922	-0.0842	-0.1996	-0.156
9	-0.2817	-0.1304	-0.0528	-0.0415	-0.1587	-0.133
10	-0.2639	-0.1464	-0.0982	-0.0738	-0.1712	-0.1507
SD	0.0498	0.0189	0.0142	0.0093	0.0361	0.0257
Average	-0.2848	-0.145	-0.0889	-0.0675	-0.1793	-0.1531

