	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9248	0.827	0.7688	0.8253	0.7019	0.8096
2	0.9217	0.8195	0.7551	0.8437	0.7545	0.8189
3	0.9136	0.8072	0.7785	0.8338	0.6952	0.8056
4	0.9093	0.8212	0.7036	0.8065	0.6669	0.7815
5	0.93	0.8383	0.7626	0.8389	0.718	0.8176
6	0.9275	0.821	0.7503	0.8337	0.7212	0.8108
7	0.9292	0.8337	0.7688	0.8452	0.7278	0.821
8	0.9296	0.8433	0.7704	0.8288	0.7234	0.8191
9	0.9288	0.8093	0.7564	0.8084	0.689	0.7983
10	0.9237	0.838	0.7518	0.8193	0.7207	0.8107
SD	0.0173	0.0398	0.053	0.0388	0.0512	0.04
Average	0.9238	0.8258	0.7566	0.8284	0.7119	0.8093

