	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9114	0.8363	0.7904	0.7097	0.7632	0.8022
2	0.9118	0.8042	0.7541	0.7356	0.7774	0.7966
3	0.9208	0.7533	0.7274	0.6929	0.7268	0.7642
4	0.9327	0.7975	0.7823	0.7509	0.736	0.7999
5	0.9391	0.8121	0.8191	0.7569	0.7624	0.8179
6	0.9117	0.7928	0.8135	0.7414	0.7448	0.8008
7	0.9132	0.7543	0.7907	0.7275	0.7682	0.7908
8	0.9025	0.7995	0.765	0.6877	0.7269	0.7763
9	0.9382	0.8107	0.8102	0.7734	0.7569	0.8179
10	0.9187	0.7475	0.7122	0.7077	0.7468	0.7666
SD	0.0126	0.0295	0.0364	0.0284	0.0175	0.0249
Average	0.92	0.7908	0.7765	0.7284	0.7509	0.7933
