	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9148	0.8599	0.8053	0.8446	0.7729	0.8395
2	0.9296	0.8997	0.8175	0.8555	0.8071	0.8619
3	0.9192	0.7984	0.7386	0.8235	0.7181	0.7996
4	0.9352	0.8326	0.8083	0.8216	0.734	0.8263
5	0.9486	0.8602	0.8499	0.8518	0.7471	0.8515
6	0.9309	0.8795	0.8432	0.8522	0.7373	0.8486
7	0.9248	0.8403	0.8173	0.8661	0.7699	0.8437
8	0.9121	0.818	0.7401	0.8235	0.7284	0.8044
9	0.9471	0.8865	0.8376	0.8551	0.7853	0.8623
10	0.9262	0.8508	0.7953	0.8432	0.7623	0.8356
SD	0.0123	0.0314	0.0388	0.0157	0.0281	0.0253
Average	0.9288	0.8526	0.8053	0.8437	0.7562	0.8373
