	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7359	0.6962	0.7591	0.838	0.613	0.7284
2	0.7947	0.7967	0.7937	0.8235	0.673	0.7763
3	0.7491	0.6708	0.6589	0.8239	0.5717	0.6949
4	0.8266	0.7103	0.7492	0.777	0.5999	0.7326
5	0.7981	0.7017	0.8117	0.7895	0.5291	0.726
6	0.754	0.798	0.8166	0.7853	0.5563	0.7421
7	0.7294	0.7621	0.8394	0.8683	0.5815	0.7561
8	0.7189	0.6328	0.7211	0.8277	0.5582	0.6917
9	0.81	0.7622	0.8511	0.8271	0.6702	0.7841
10	0.7545	0.7096	0.6943	0.8065	0.5837	0.7097
SD	0.0372	0.0543	0.064	0.0276	0.0473	0.0461
Average	0.7671	0.724	0.7695	0.8167	0.5937	0.7342
