	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0047	-0.0271	-0.0273	-0.154	-0.014	-0.0454
2	-0.0173	-0.0956	-0.0774	-0.1286	-0.0329	-0.0704
3	0.0012	-0.0493	-0.0046	-0.147	0.0028	-0.0394
4	-0.0016	-0.0386	-0.0244	-0.0723	-0.0063	-0.0286
5	-0.0107	-0.0509	-0.0453	-0.0992	-0.0057	-0.0424
6	-0.0206	-0.0813	-0.0479	-0.1086	-0.0041	-0.0526
7	-0.0128	-0.0808	-0.06	-0.1591	-0.0142	-0.0654
8	-0.0107	-0.0248	0.0007	-0.1596	-0.0064	-0.0402
9	-0.0091	-0.0762	-0.0572	-0.0967	-0.0217	-0.0522
10	-0.0069	-0.104	-0.0755	-0.1502	-0.0172	-0.0707
SD	0.0004	-0.0003	-0.0096	0.011	-0.0086	-0.0014
Average	-0.0093	-0.0629	-0.0419	-0.1275	-0.012	-0.0507
