	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0013	-0.0035	-0.0124	-0.0191	-0.0043	-0.0081
2	0.0005	-0.0001	-0.014	-0.0087	-0.0032	-0.0051
3	-0.0004	-0.0042	0.0066	-0.0164	-0.0059	-0.004
4	0.0009	-0.0035	0.0016	-0.0016	-0.0083	-0.0022
5	-0.0012	-0.0028	-0.0145	-0.0043	-0.021	-0.0088
6	-0.0014	0.0054	-0.0182	0.0022	-0.0116	-0.0048
7	-0.0012	0.0052	-0.0334	-0.0205	-0.0125	-0.0125
8	-0.0011	-0.0063	-0.0242	-0.0238	-0.0049	-0.0121
9	-0.0002	-0.0004	-0.0298	-0.015	0.0067	-0.0078
10	0.0006	-0.0007	0.0076	-0.0147	-0.0017	-0.0017
SD	0.0001	0.0016	-0.0072	-0.0017	0.002	-0.001
Average	-0.0005	-0.0011	-0.0131	-0.0122	-0.0067	-0.0067
