	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.1802	-0.1672	-0.0586	-0.0257	-0.1642	-0.1192
2	-0.1344	-0.1031	-0.0378	-0.0407	-0.1373	-0.0907
3	-0.1705	-0.1318	-0.0731	-0.016	-0.1523	-0.1087
4	-0.1077	-0.1258	-0.0575	-0.0462	-0.1424	-0.0959
5	-0.1517	-0.1613	-0.0527	-0.0666	-0.239	-0.1343
6	-0.1783	-0.0761	-0.0448	-0.0647	-0.1926	-0.1113
7	-0.1966	-0.073	-0.0113	-0.0183	-0.2009	-0.1001
8	-0.1943	-0.1915	-0.0432	-0.0196	-0.1751	-0.1248
9	-0.1373	-0.1247	-0.0163	-0.043	-0.1084	-0.086
10	-0.1711	-0.1419	-0.0934	-0.0514	-0.1803	-0.1276
SD	0.025	0.0245	0.018	0.0102	0.0212	0.0198
Average	-0.1622	-0.1297	-0.0489	-0.0392	-0.1692	-0.1098
