	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9161	0.8634	0.8177	0.8637	0.7772	0.8476
2	0.9291	0.8998	0.8315	0.8642	0.8103	0.867
3	0.9196	0.8026	0.732	0.8399	0.724	0.8036
4	0.9343	0.8361	0.8067	0.8232	0.7423	0.8285
5	0.9498	0.863	0.8644	0.8561	0.7681	0.8603
6	0.9323	0.8741	0.8614	0.85	0.7489	0.8534
7	0.926	0.8351	0.8507	0.8866	0.7824	0.8562
8	0.9132	0.8243	0.7643	0.8473	0.7333	0.8165
9	0.9473	0.8869	0.8674	0.8701	0.7786	0.8701
10	0.9256	0.8515	0.7877	0.8579	0.764	0.8373
SD	0.0122	0.0298	0.046	0.0174	0.0261	0.0263
Average	0.9293	0.8537	0.8184	0.8559	0.7629	0.844
