	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9218	0.8304	0.804	0.7682	0.7588	0.8166
2	0.9198	0.8141	0.8177	0.7976	0.7475	0.8194
3	0.9326	0.7642	0.7491	0.708	0.7208	0.775
4	0.922	0.7907	0.7741	0.7268	0.7593	0.7946
5	0.911	0.718	0.7672	0.7192	0.6796	0.759
6	0.9214	0.7668	0.7667	0.7369	0.7626	0.7909
7	0.9125	0.8094	0.772	0.7165	0.7846	0.799
8	0.9129	0.7712	0.7083	0.5938	0.7443	0.7461
9	0.9236	0.8088	0.8157	0.7601	0.7587	0.8134
10	0.9349	0.8335	0.8271	0.7709	0.7809	0.8294
SD	0.008	0.0359	0.0366	0.0558	0.0305	0.0333
Average	0.9212	0.7907	0.7802	0.7298	0.7497	0.7943

