	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9323	0.8884	0.8056	0.8487	0.7715	0.8493
2	0.9324	0.8703	0.8507	0.8745	0.7425	0.8541
3	0.9353	0.812	0.7638	0.8022	0.7229	0.8073
4	0.934	0.8488	0.7835	0.8705	0.7818	0.8437
5	0.9236	0.7999	0.7914	0.8502	0.6919	0.8114
6	0.9334	0.7997	0.8001	0.8665	0.7632	0.8326
7	0.9243	0.8699	0.8287	0.8532	0.7767	0.8506
8	0.9157	0.8684	0.781	0.7779	0.729	0.8144
9	0.9287	0.8721	0.8216	0.8501	0.7868	0.8519
10	0.9478	0.8863	0.8568	0.8532	0.7744	0.8637
SD	0.0086	0.0348	0.0306	0.0308	0.0312	0.0272
Average	0.9307	0.8516	0.8083	0.8447	0.7541	0.8379

