	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.736	0.7687	0.8296	0.8348	0.6402	0.7619
2	0.8077	0.773	0.8393	0.878	0.5746	0.7745
3	0.7665	0.5929	0.6622	0.7558	0.5051	0.6565
4	0.7768	0.7309	0.7431	0.8277	0.651	0.7459
5	0.7472	0.7024	0.7454	0.8395	0.5395	0.7148
6	0.803	0.6743	0.7895	0.8474	0.6092	0.7447
7	0.7494	0.7553	0.7961	0.8107	0.6127	0.7448
8	0.7533	0.7224	0.6999	0.7562	0.5001	0.6864
9	0.7617	0.7876	0.8137	0.8061	0.693	0.7724
10	0.7995	0.7397	0.8259	0.7939	0.5918	0.7502
SD	0.0256	0.0576	0.0597	0.039	0.0631	0.049
Average	0.7701	0.7247	0.7745	0.815	0.5917	0.7352

