	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0125	-0.0583	-0.0353	-0.099	-0.0119	-0.0435
2	-0.0117	-0.057	-0.0511	-0.097	-0.0118	-0.0457
3	-0.0013	-0.0557	-0.0078	-0.1045	-0.0184	-0.0375
4	-0.0129	-0.0595	-0.0202	-0.1472	-0.0245	-0.0529
5	-0.0135	-0.0759	-0.0373	-0.1525	-0.0134	-0.0585
6	-0.0128	-0.0368	-0.0499	-0.1399	-0.0139	-0.0507
7	-0.0134	-0.0617	-0.0677	-0.1386	-0.0001	-0.0563
8	-0.0014	-0.0992	-0.0713	-0.1964	-0.0025	-0.0742
9	-0.0065	-0.0608	-0.0281	-0.0944	-0.0192	-0.0417
10	-0.0134	-0.0532	-0.0476	-0.0871	-0.0014	-0.0406
SD	-0.0008	0.0015	-0.0017	0.0244	0.0017	0.005
Average	-0.01	-0.0618	-0.0416	-0.1257	-0.0117	-0.0502

