	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.002	-0.0003	-0.0337	-0.0185	0.0008	-0.0108
2	0.0009	-0.0008	-0.0181	-0.0201	-0.0168	-0.011
3	0.0014	-0.0079	0.0069	-0.0103	-0.0163	-0.0052
4	-0.0009	-0.0014	-0.0108	-0.0035	-0.002	-0.0038
5	-0.0009	0.006	-0.0131	-0.0215	-0.0011	-0.0061
6	-0.0008	-0.0039	-0.0165	-0.0103	-0.0133	-0.009
7	-0.0016	-0.0012	-0.011	-0.0019	-0.008	-0.0047
8	0.0014	-0.002	0.0014	-0.0123	-0.0178	-0.0059
9	-0.0014	0.0025	-0.0222	-0.0044	0.0089	-0.0032
10	-0.0005	-0.0004	-0.0179	-0.0048	-0.0079	-0.0063
SD	-0.0002	0.0004	-0.0077	-0.0006	0.0024	-0.0011
Average	-0.0005	-0.0009	-0.0135	-0.0108	-0.0073	-0.0066

