	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.1983	-0.12	-0.0097	-0.0324	-0.1305	-0.0982
2	-0.1238	-0.0981	-0.0295	-0.0166	-0.1847	-0.0906
3	-0.1674	-0.227	-0.0947	-0.0567	-0.2341	-0.156
4	-0.1581	-0.1193	-0.0512	-0.0463	-0.1328	-0.1016
5	-0.1773	-0.0915	-0.0591	-0.0322	-0.1535	-0.1027
6	-0.1312	-0.1293	-0.0271	-0.0294	-0.1673	-0.0969
7	-0.1765	-0.1158	-0.0436	-0.0444	-0.172	-0.1105
8	-0.161	-0.148	-0.0797	-0.034	-0.2467	-0.1339
9	-0.1684	-0.082	-0.0301	-0.0484	-0.0849	-0.0827
10	-0.1488	-0.147	-0.0488	-0.0641	-0.1905	-0.1198
SD	0.0168	0.0232	0.0214	0.0076	0.0343	0.0207
Average	-0.1611	-0.1278	-0.0473	-0.0405	-0.1697	-0.1093

