	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9343	0.8887	0.8393	0.8672	0.7707	0.8601
2	0.9315	0.8711	0.8688	0.8946	0.7593	0.8651
3	0.9339	0.8199	0.7569	0.8125	0.7392	0.8125
4	0.9349	0.8502	0.7943	0.874	0.7838	0.8475
5	0.9245	0.7939	0.8045	0.8717	0.693	0.8175
6	0.9342	0.8036	0.8166	0.8768	0.7765	0.8416
7	0.9259	0.8711	0.8397	0.8551	0.7847	0.8553
8	0.9143	0.8704	0.7796	0.7902	0.7468	0.8203
9	0.9301	0.8696	0.8438	0.8545	0.7779	0.8551
10	0.9483	0.8867	0.8747	0.858	0.7823	0.87
SD	0.0088	0.0344	0.0383	0.0314	0.0288	0.0283
Average	0.9312	0.8525	0.8218	0.8555	0.7614	0.8445

