	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8873	0.8232	0.8304	0.7859	0.7598	0.8173
2	0.8711	0.7993	0.7537	0.7519	0.8	0.7952
3	0.9076	0.764	0.7605	0.7843	0.7059	0.7845
4	0.9136	0.8332	0.7883	0.756	0.8111	0.8205
5	0.9098	0.831	0.7676	0.7998	0.7756	0.8167
6	0.9086	0.7571	0.7418	0.7216	0.7546	0.7767
7	0.8902	0.8319	0.8172	0.8135	0.7687	0.8243
8	0.9086	0.7857	0.7266	0.7455	0.7243	0.7781
9	0.9122	0.8159	0.7863	0.8334	0.7775	0.825
10	0.8966	0.7838	0.7691	0.7641	0.7891	0.8006
SD	0.0139	0.0287	0.0322	0.0341	0.0324	0.0283
Average	0.9006	0.8025	0.7741	0.7756	0.7667	0.8039

