	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9142	0.8689	0.8279	0.826	0.7824	0.8439
2	0.8898	0.8583	0.7869	0.8368	0.8266	0.8397
3	0.925	0.8042	0.7282	0.8043	0.7265	0.7976
4	0.9231	0.8348	0.7719	0.7947	0.813	0.8275
5	0.9179	0.8479	0.7403	0.7973	0.7859	0.8179
6	0.9259	0.7812	0.7425	0.7447	0.7641	0.7917
7	0.9095	0.8425	0.7981	0.8506	0.7624	0.8326
8	0.9236	0.8248	0.7294	0.7951	0.7318	0.8009
9	0.9385	0.8654	0.7874	0.864	0.7948	0.85
10	0.9218	0.835	0.7815	0.7995	0.8061	0.8288
SD	0.0128	0.0274	0.0332	0.0342	0.0332	0.0282
Average	0.9189	0.8363	0.7694	0.8113	0.7794	0.8231

