	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7587	0.7543	0.7935	0.8261	0.6457	0.7557
2	0.7697	0.7401	0.7062	0.8353	0.7027	0.7508
3	0.7477	0.6942	0.702	0.775	0.5943	0.7026
4	0.8102	0.7129	0.719	0.7639	0.7261	0.7464
5	0.7615	0.6984	0.7156	0.8294	0.696	0.7402
6	0.8269	0.7312	0.7071	0.7313	0.7214	0.7436
7	0.8291	0.7705	0.7845	0.8573	0.6996	0.7882
8	0.7683	0.715	0.6867	0.7459	0.6033	0.7038
9	0.7814	0.8065	0.768	0.8333	0.6641	0.7706
10	0.8273	0.725	0.7565	0.8107	0.7516	0.7742
SD	0.032	0.0346	0.0381	0.0433	0.0525	0.0401
Average	0.7881	0.7348	0.7339	0.8008	0.6805	0.7476

