	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0274	-0.0457	-0.0155	-0.0657	-0.0213	-0.0351
2	-0.0191	-0.0591	-0.0237	-0.1001	-0.0242	-0.0452
3	-0.0163	-0.0396	0.0096	-0.0387	-0.0195	-0.0209
4	-0.0102	-0.0017	0.0092	-0.0439	-0.0024	-0.0098
5	-0.0081	-0.0171	0.0072	-0.0375	-0.011	-0.0134
6	-0.0172	-0.0225	-0.0068	-0.0365	-0.0102	-0.0187
7	-0.0202	-0.0105	0.0045	-0.0556	0.0059	-0.0152
8	-0.0151	-0.039	-0.0138	-0.0518	-0.0067	-0.0253
9	-0.0257	-0.0473	-0.0176	-0.0404	-0.0156	-0.0294
10	-0.0255	-0.0514	-0.0211	-0.0591	-0.0177	-0.0349
SD	0.0014	0.0011	-0.0009	-0.0019	-0.0008	-0.0002
Average	-0.0184	-0.0334	-0.0069	-0.0529	-0.0122	-0.0248

