	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0005	0.0	-0.018	-0.0256	0.0013	-0.0085
2	-0.0004	-0.0001	0.0095	-0.0152	0.0024	-0.0007
3	0.0011	0.0006	-0.0227	-0.0187	0.0011	-0.0078
4	-0.0007	-0.0001	-0.0072	-0.0052	-0.0005	-0.0028
5	0.0	-0.0002	-0.0201	-0.04	-0.0007	-0.0122
6	0.0001	0.0016	-0.0061	-0.0134	-0.0007	-0.0037
7	-0.0009	0.0001	-0.0146	-0.0185	-0.0004	-0.0069
8	-0.0001	0.0001	-0.011	-0.0022	0.0008	-0.0025
9	0.0006	0.0022	-0.0165	-0.0098	0.0017	-0.0044
10	-0.0003	-0.0002	-0.0087	-0.0237	-0.0007	-0.0067
SD	0.0003	-0.0002	0.0001	-0.0018	0.0	-0.0003
Average	-0.0001	0.0004	-0.0116	-0.0172	0.0005	-0.0056

