	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.156	-0.1146	-0.0524	-0.0255	-0.1354	-0.0967
2	-0.1205	-0.1183	-0.0712	-0.0167	-0.1215	-0.0896
3	-0.1762	-0.1094	-0.0489	-0.048	-0.1311	-0.1028
4	-0.1136	-0.122	-0.0601	-0.036	-0.0874	-0.0839
5	-0.1564	-0.1497	-0.0448	-0.0079	-0.0906	-0.0899
6	-0.0989	-0.0484	-0.0415	-0.0268	-0.0434	-0.0518
7	-0.0813	-0.0719	-0.0282	-0.0118	-0.0632	-0.0513
8	-0.1554	-0.1097	-0.0537	-0.0514	-0.1277	-0.0996
9	-0.1565	-0.0567	-0.0359	-0.0405	-0.129	-0.0838
10	-0.0948	-0.1102	-0.0337	-0.0125	-0.0552	-0.0613
SD	0.0195	0.007	0.005	0.0073	0.0193	0.0116
Average	-0.1309	-0.1011	-0.0471	-0.0277	-0.0984	-0.0811

