	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9147	0.8689	0.8459	0.8516	0.7811	0.8524
2	0.8902	0.8584	0.7774	0.852	0.8242	0.8404
3	0.9239	0.8036	0.7509	0.823	0.7254	0.8054
4	0.9238	0.8349	0.7791	0.7999	0.8135	0.8303
5	0.9179	0.8481	0.7604	0.8373	0.7866	0.8301
6	0.9258	0.7796	0.7486	0.7581	0.7648	0.7954
7	0.9104	0.8424	0.8127	0.8691	0.7628	0.8395
8	0.9237	0.8247	0.7404	0.7973	0.731	0.8034
9	0.9379	0.8632	0.8039	0.8738	0.7931	0.8544
10	0.9221	0.8352	0.7902	0.8232	0.8068	0.8355
SD	0.0125	0.0276	0.0331	0.036	0.0332	0.0285
Average	0.919	0.8359	0.781	0.8285	0.7789	0.8287

