	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8948	0.77	0.6485	0.8037	0.5261	0.7286
2	0.897	0.6851	0.572	0.6934	0.5975	0.689
3	0.9123	0.7463	0.7256	0.8459	0.6041	0.7668
4	0.8358	0.7796	0.3636	0.5391	0.202	0.5441
5	0.8962	0.7335	0.4686	0.8282	0.5062	0.6866
6	0.8409	0.621	0.5944	0.7811	0.6516	0.6978
7	0.9131	0.7321	0.5953	0.7912	0.4841	0.7031
8	0.8949	0.8408	0.8116	0.8641	0.744	0.8311
9	0.9036	0.5855	0.3878	0.5923	0.4825	0.5904
10	0.8906	0.8174	0.6671	0.8329	0.617	0.765
SD	0.0272	0.081	0.1428	0.1119	0.1451	0.1016
Average	0.8879	0.7311	0.5835	0.7572	0.5415	0.7002
