	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9125	0.77	0.6866	0.8374	0.5268	0.7467
2	0.9196	0.7504	0.5796	0.7835	0.6062	0.7279
3	0.9141	0.778	0.6585	0.9063	0.643	0.78
4	0.8647	0.7676	0.4898	0.6338	0.1838	0.5879
5	0.903	0.7901	0.424	0.8036	0.506	0.6853
6	0.8611	0.699	0.5679	0.8146	0.6532	0.7192
7	0.924	0.7877	0.5984	0.8172	0.4753	0.7205
8	0.8886	0.8788	0.8118	0.8806	0.7411	0.8402
9	0.8874	0.6768	0.3759	0.6141	0.4794	0.6067
10	0.8937	0.8797	0.6966	0.8695	0.6093	0.7898
SD	0.0219	0.0651	0.1328	0.0982	0.1524	0.0941
Average	0.8969	0.7778	0.5889	0.7961	0.5424	0.7204
