	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.6615	0.6297	0.5766	0.7875	0.3936	0.6098
2	0.5423	0.5994	0.6185	0.7776	0.4593	0.5994
3	0.517	0.6377	0.6153	0.8364	0.5761	0.6365
4	0.5365	0.5027	0.2736	0.6172	-0.0852	0.369
5	0.5077	0.7331	0.4871	0.8423	0.3794	0.5899
6	0.3647	0.6514	0.6289	0.8021	0.4846	0.5863
7	0.4706	0.6467	0.558	0.7755	0.2214	0.5345
8	0.5518	0.8106	0.7863	0.8489	0.5539	0.7103
9	0.4532	0.5736	0.4945	0.7415	0.2681	0.5062
10	0.6914	0.8405	0.6232	0.8687	0.3699	0.6788
SD	0.0951	0.1044	0.1325	0.0725	0.1935	0.1196
Average	0.5297	0.6625	0.5662	0.7898	0.3621	0.5821
