	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0104	-0.0061	-0.0177	-0.0398	0.002	-0.0144
2	-0.0168	-0.0697	-0.0462	-0.1098	-0.0013	-0.0488
3	-0.0055	-0.0409	0.0284	-0.0536	0.0017	-0.014
4	-0.0047	0.0035	-0.0308	-0.1093	0.0079	-0.0266
5	-0.0094	-0.0587	-0.0076	-0.0242	-0.0013	-0.0202
6	-0.024	-0.0813	-0.0281	-0.0581	-0.0019	-0.0387
7	-0.0109	-0.0591	-0.0184	-0.0416	0.0088	-0.0243
8	0.0046	-0.0343	-0.0181	-0.0272	-0.0002	-0.015
9	0.0127	-0.0901	-0.0558	-0.1114	-0.0003	-0.0489
10	-0.0002	-0.0515	-0.0181	-0.0566	0.0027	-0.0247
SD	0.0017	0.0188	0.0108	0.0292	-0.0024	0.0116
Average	-0.0065	-0.0489	-0.0212	-0.0631	0.0018	-0.0276
