	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0073	-0.0061	0.0204	-0.0061	0.0027	0.0037
2	0.0058	-0.0044	-0.0386	-0.0197	0.0074	-0.0099
3	-0.0037	-0.0092	-0.0387	0.0068	0.0406	-0.0008
4	0.0242	-0.0085	0.0954	-0.0146	-0.0103	0.0172
5	-0.0026	-0.0021	-0.0522	-0.0488	-0.0015	-0.0215
6	-0.0038	-0.0033	-0.0546	-0.0246	-0.0003	-0.0173
7	0.0	-0.0035	-0.0153	-0.0156	0.0	-0.0069
8	-0.0017	0.0037	-0.0179	-0.0107	-0.0031	-0.0059
9	-0.0035	0.0012	-0.0677	-0.0896	-0.0034	-0.0326
10	0.0029	0.0108	0.0114	-0.02	-0.005	0.0001
SD	-0.0036	0.0029	0.0008	0.0155	0.0049	0.0041
Average	0.0025	-0.0022	-0.0158	-0.0242	0.0027	-0.0074
