	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.2437	-0.1464	-0.0896	-0.056	-0.1305	-0.1332
2	-0.3715	-0.1554	0.0003	-0.0256	-0.1395	-0.1384
3	-0.4008	-0.1495	-0.0819	-0.0631	-0.0263	-0.1443
4	-0.304	-0.2734	-0.1208	-0.0312	-0.2793	-0.2017
5	-0.3979	-0.0591	0.0109	-0.0101	-0.1281	-0.1169
6	-0.5002	-0.0509	0.0064	-0.0371	-0.1689	-0.1502
7	-0.4534	-0.1445	-0.0557	-0.0573	-0.2539	-0.1929
8	-0.3385	-0.0645	-0.0434	-0.0424	-0.1903	-0.1358
9	-0.4377	-0.102	0.0509	0.0378	-0.2147	-0.1331
10	-0.1994	-0.0284	-0.062	-0.0208	-0.2444	-0.1109
SD	0.0696	0.0422	0.0005	-0.0102	0.046	0.0296
Average	-0.3647	-0.1175	-0.0385	-0.0305	-0.1776	-0.1457
