	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9052	0.7761	0.6662	0.8435	0.5241	0.743
2	0.9138	0.7548	0.6182	0.8032	0.5988	0.7378
3	0.9178	0.7872	0.6972	0.8995	0.6024	0.7808
4	0.8405	0.7761	0.3944	0.6484	0.1941	0.5707
5	0.9056	0.7922	0.4762	0.8524	0.5075	0.7068
6	0.8649	0.7023	0.6225	0.8392	0.6535	0.7365
7	0.924	0.7912	0.6137	0.8328	0.4753	0.7274
8	0.8903	0.8751	0.8297	0.8913	0.7442	0.8461
9	0.8909	0.6756	0.4436	0.7037	0.4828	0.6393
10	0.8908	0.8689	0.6852	0.8895	0.6143	0.7897
SD	0.0255	0.0622	0.132	0.0827	0.1475	0.09
Average	0.8944	0.78	0.6047	0.8203	0.5397	0.7278
