	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8711	0.5955	0.4413	0.6008	0.3629	0.5743
2	0.9438	0.6543	0.6457	0.8415	0.6994	0.7569
3	0.8935	0.7361	0.779	0.8147	0.6053	0.7657
4	0.881	0.6401	0.366	0.6643	0.4509	0.6004
5	0.8859	0.8298	0.7063	0.7728	0.61	0.761
6	0.8658	0.7757	0.4622	0.7875	0.5165	0.6815
7	0.8967	0.7847	0.6542	0.9075	0.684	0.7854
8	0.9288	0.7708	0.7015	0.8633	0.5583	0.7645
9	0.9067	0.7291	0.6987	0.6703	0.3974	0.6804
10	0.8626	0.7284	0.5447	0.6066	0.5132	0.6511
SD	0.0267	0.0733	0.1376	0.1098	0.1138	0.0922
Average	0.8936	0.7244	0.5999	0.7529	0.5398	0.7021

