	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8878	0.6865	0.5773	0.7526	0.358	0.6524
2	0.9328	0.661	0.6247	0.8395	0.6916	0.7499
3	0.8844	0.8015	0.6849	0.7811	0.6216	0.7547
4	0.8875	0.7532	0.3966	0.7844	0.4662	0.6576
5	0.9132	0.8611	0.7352	0.7512	0.6023	0.7726
6	0.8872	0.794	0.5396	0.8899	0.5139	0.7249
7	0.8995	0.7704	0.6709	0.8569	0.6783	0.7752
8	0.9375	0.8158	0.6229	0.8732	0.5546	0.7608
9	0.9084	0.7167	0.6468	0.7096	0.3882	0.6739
10	0.8657	0.8525	0.564	0.702	0.5222	0.7013
SD	0.0227	0.0673	0.0944	0.0674	0.1133	0.073
Average	0.9004	0.7713	0.6063	0.7941	0.5397	0.7223

