	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.5004	0.6723	0.5011	0.7183	0.1781	0.5141
2	0.8273	0.5774	0.5532	0.8126	0.4967	0.6535
3	0.452	0.6691	0.7042	0.8158	0.4354	0.6153
4	0.5603	0.7573	0.4195	0.7912	0.4286	0.5914
5	0.2854	0.559	0.5735	0.7138	0.0926	0.4449
6	0.3149	0.5811	0.4587	0.7939	0.2518	0.4801
7	0.5791	0.6139	0.5652	0.803	0.4264	0.5975
8	0.7685	0.7923	0.6647	0.907	0.3966	0.7058
9	0.4165	0.5839	0.6787	0.7889	0.1198	0.5176
10	0.4611	0.7495	0.6741	0.7432	0.5974	0.645
SD	0.1756	0.0858	0.0994	0.0559	0.1706	0.1175
Average	0.5166	0.6556	0.5793	0.7888	0.3423	0.5765

