	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.013	-0.0902	-0.086	-0.1359	-0.0003	-0.0651
2	0.0114	-0.0084	0.0232	-0.0091	0.0028	0.004
3	0.0067	-0.0564	0.0111	-0.0356	-0.0003	-0.0149
4	-0.0104	-0.1262	-0.0398	-0.1209	0.0032	-0.0589
5	-0.0239	-0.0315	-0.0359	-0.0471	0.002	-0.0272
6	-0.0239	-0.0134	-0.0522	-0.0902	0.0075	-0.0345
7	-0.0037	0.0081	0.0061	0.0358	0.0003	0.0093
8	-0.0083	-0.044	0.0225	-0.0427	0.0011	-0.0143
9	-0.0077	0.0119	-0.0099	-0.0908	-0.0004	-0.0194
10	0.0002	-0.1219	-0.0751	-0.1317	0.0124	-0.0632
SD	0.0038	0.0074	0.0248	0.0487	-0.0001	0.0169
Average	-0.0072	-0.0472	-0.0236	-0.0668	0.0028	-0.0284

