	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0037	0.0008	0.05	0.0159	-0.0052	0.013
2	0.0004	-0.0017	0.0022	-0.0111	-0.005	-0.003
3	-0.0024	0.009	-0.083	-0.0692	0.016	-0.0259
4	-0.0039	-0.0131	-0.0092	-0.0008	0.0185	-0.0017
5	0.0034	-0.0002	-0.007	-0.0687	-0.0057	-0.0156
6	-0.0025	0.0049	0.0252	0.0122	0.0049	0.0089
7	-0.0009	-0.0062	0.0228	-0.0148	-0.0054	-0.0009
8	0.0004	0.001	-0.0561	-0.0328	-0.0026	-0.018
9	-0.006	-0.0005	-0.0618	-0.0515	-0.0096	-0.0259
10	0.0033	0.0022	-0.0558	-0.0363	0.0214	-0.013
SD	-0.0002	0.0014	-0.0184	0.0063	-0.0006	-0.0023
Average	-0.0004	-0.0003	-0.0172	-0.0256	0.0027	-0.0082

