	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.3837	-0.0134	-0.0262	-0.0184	-0.1851	-0.1253
2	-0.1051	-0.0853	-0.0693	-0.038	-0.1999	-0.0994
3	-0.4348	-0.1234	-0.0637	-0.0345	-0.1702	-0.1653
4	-0.3311	-0.009	0.0137	0.006	-0.0191	-0.0679
5	-0.6244	-0.3023	-0.1687	-0.1061	-0.5154	-0.3433
6	-0.5748	-0.208	-0.0557	-0.0838	-0.2572	-0.2359
7	-0.3213	-0.1627	-0.0829	-0.0687	-0.2573	-0.1786
8	-0.1686	-0.0225	-0.0143	0.001	-0.1606	-0.073
9	-0.4979	-0.1333	-0.0299	0.0278	-0.278	-0.1822
10	-0.4013	-0.1008	0.0543	0.0049	0.0966	-0.0693
SD	0.1527	0.0199	-0.0134	-0.0052	0.0567	0.0422
Average	-0.3842	-0.116	-0.0442	-0.0309	-0.1947	-0.154

