	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8841	0.6857	0.5273	0.7367	0.3632	0.6394
2	0.9324	0.6627	0.6225	0.8506	0.6966	0.7529
3	0.8868	0.7925	0.7679	0.8503	0.6056	0.7806
4	0.8914	0.7663	0.4058	0.7852	0.4477	0.6593
5	0.9098	0.8613	0.7422	0.8199	0.608	0.7882
6	0.8897	0.7891	0.5144	0.8777	0.509	0.716
7	0.9004	0.7766	0.6481	0.8717	0.6837	0.7761
8	0.9371	0.8148	0.679	0.906	0.5572	0.7788
9	0.9144	0.7172	0.7086	0.7611	0.3978	0.6998
10	0.8624	0.8503	0.6198	0.7383	0.5008	0.7143
SD	0.0229	0.0659	0.1128	0.0611	0.1139	0.0753
Average	0.9008	0.7716	0.6235	0.8197	0.537	0.7305

