	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9033	0.7756	0.726	0.6445	0.7825	0.7664
2	0.8923	0.7617	0.6846	0.7142	0.815	0.7736
3	0.825	0.6802	0.7106	0.6262	0.6643	0.7013
4	0.8881	0.8403	0.7464	0.7539	0.7712	0.8
5	0.8908	0.7948	0.7329	0.7326	0.8184	0.7939
6	0.9179	0.831	0.7428	0.7503	0.8174	0.8119
7	0.9085	0.8065	0.7886	0.731	0.7691	0.8007
8	0.9228	0.7609	0.7056	0.7197	0.7308	0.768
9	0.8877	0.7673	0.7401	0.67	0.7924	0.7715
10	0.9116	0.8249	0.7208	0.7717	0.8477	0.8154
SD	0.0276	0.0469	0.0281	0.0487	0.0525	0.0408
Average	0.8948	0.7843	0.7298	0.7114	0.7809	0.7802
