	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9228	0.858	0.7753	0.7216	0.828	0.8211
2	0.9081	0.7978	0.7536	0.7881	0.838	0.8171
3	0.8315	0.7241	0.7603	0.7126	0.6997	0.7456
4	0.9008	0.8562	0.7739	0.8	0.7923	0.8247
5	0.9144	0.8149	0.7625	0.8046	0.8258	0.8244
6	0.9321	0.8751	0.7957	0.8005	0.8371	0.8481
7	0.9301	0.8558	0.7994	0.8028	0.814	0.8404
8	0.9362	0.8116	0.7305	0.766	0.7726	0.8034
9	0.9072	0.7956	0.7579	0.7652	0.828	0.8108
10	0.9367	0.8646	0.7811	0.8301	0.8649	0.8555
SD	0.0311	0.0461	0.0206	0.0378	0.0463	0.0364
Average	0.912	0.8254	0.769	0.7792	0.81	0.8191
