	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7116	0.7529	0.7391	0.6297	0.7131	0.7093
2	0.6248	0.6735	0.6975	0.709	0.7042	0.6818
3	0.6233	0.6602	0.7779	0.6902	0.6366	0.6776
4	0.7254	0.7742	0.7461	0.7446	0.7542	0.7489
5	0.6904	0.7312	0.7723	0.7729	0.7232	0.738
6	0.5771	0.726	0.721	0.6839	0.6914	0.6799
7	0.6234	0.7348	0.7586	0.716	0.7194	0.7104
8	0.6633	0.6752	0.6997	0.63	0.6779	0.6692
9	0.6476	0.693	0.7733	0.7265	0.7803	0.7241
10	0.5681	0.7066	0.6793	0.7023	0.6503	0.6613
SD	0.0529	0.0373	0.0355	0.0454	0.0438	0.043
Average	0.6455	0.7128	0.7365	0.7005	0.7051	0.7001
