	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0186	-0.082	-0.0644	-0.0725	-0.0452	-0.0565
2	-0.0161	-0.0446	-0.0674	-0.0783	-0.022	-0.0456
3	-0.0084	-0.0504	-0.0719	-0.0854	-0.0345	-0.0501
4	-0.0142	-0.0192	-0.0317	-0.0517	-0.0218	-0.0277
5	-0.0256	-0.0263	-0.05	-0.0731	-0.0056	-0.0361
6	-0.0173	-0.0476	-0.0551	-0.0534	-0.02	-0.0387
7	-0.0231	-0.0476	-0.033	-0.0679	-0.0455	-0.0435
8	-0.013	-0.0481	-0.0468	-0.0535	-0.0427	-0.0408
9	-0.0215	-0.0268	-0.0496	-0.0937	-0.0358	-0.0455
10	-0.0258	-0.037	-0.0561	-0.0614	-0.0139	-0.0388
SD	-0.0032	0.0025	0.0076	0.009	0.0066	0.0045
Average	-0.0184	-0.043	-0.0526	-0.0691	-0.0287	-0.0424
