	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0009	0.0004	-0.0151	0.0046	0.0003	-0.0018
2	-0.0003	-0.0085	0.0016	-0.0044	0.001	-0.0021
3	-0.0019	-0.0065	-0.0222	0.001	0.0009	-0.0058
4	-0.0015	-0.0033	-0.0042	-0.0056	-0.0007	-0.003
5	-0.002	-0.0062	-0.0204	-0.0011	0.0018	-0.0056
6	-0.0031	-0.0035	-0.0022	-0.0032	-0.0003	-0.0025
7	-0.0015	0.0017	-0.0222	0.0039	-0.0006	-0.0038
8	0.0004	0.0026	-0.0219	-0.0072	-0.0009	-0.0054
9	-0.002	0.0015	-0.0318	0.0015	-0.0002	-0.0062
10	-0.0007	0.0027	0.0042	-0.003	0.0033	0.0013
SD	0.0003	0.0017	0.0001	-0.0019	0.0004	0.0001
Average	-0.0012	-0.0019	-0.0134	-0.0013	0.0004	-0.0035
