	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.2103	-0.1047	-0.0513	-0.0873	-0.1146	-0.1136
2	-0.2836	-0.1328	-0.0545	-0.0835	-0.1328	-0.1374
3	-0.2101	-0.0704	-0.0046	-0.0214	-0.0622	-0.0738
4	-0.1769	-0.0853	-0.032	-0.061	-0.0388	-0.0788
5	-0.226	-0.0899	-0.0106	-0.0328	-0.1008	-0.092
6	-0.3581	-0.1526	-0.0769	-0.1198	-0.146	-0.1707
7	-0.3082	-0.1193	-0.063	-0.0829	-0.0952	-0.1338
8	-0.2725	-0.1338	-0.0527	-0.1432	-0.0956	-0.1396
9	-0.2616	-0.1011	-0.0164	-0.0372	-0.0479	-0.0929
10	-0.3693	-0.1553	-0.0976	-0.1308	-0.2113	-0.1929
SD	0.0221	-0.0071	0.015	0.0057	-0.0021	0.0067
Average	-0.2677	-0.1145	-0.0459	-0.08	-0.1045	-0.1225
