	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9219	0.8576	0.7904	0.717	0.8277	0.8229
2	0.9084	0.8063	0.752	0.7925	0.837	0.8192
3	0.8334	0.7306	0.7825	0.7116	0.6988	0.7514
4	0.9023	0.8595	0.7781	0.8056	0.793	0.8277
5	0.9164	0.8211	0.7829	0.8057	0.824	0.83
6	0.9352	0.8786	0.7979	0.8037	0.8374	0.8506
7	0.9316	0.8541	0.8216	0.7989	0.8146	0.8442
8	0.9358	0.809	0.7524	0.7732	0.7735	0.8088
9	0.9092	0.7941	0.7897	0.7637	0.8282	0.817
10	0.9374	0.8619	0.7769	0.8331	0.8616	0.8542
SD	0.0308	0.0444	0.0205	0.0397	0.0459	0.0363
Average	0.9132	0.8273	0.7824	0.7805	0.8096	0.8226
