	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8808	0.8009	0.7679	0.7442	0.7962	0.798
2	0.8878	0.8157	0.7245	0.753	0.7794	0.7921
3	0.8921	0.764	0.7835	0.6605	0.7527	0.7706
4	0.83	0.7194	0.7252	0.6956	0.7726	0.7486
5	0.8896	0.784	0.7474	0.7718	0.7709	0.7927
6	0.9075	0.8034	0.7074	0.6874	0.8054	0.7822
7	0.9049	0.767	0.6545	0.6626	0.7934	0.7565
8	0.9314	0.7704	0.733	0.7555	0.7663	0.7913
9	0.9274	0.8352	0.7383	0.6805	0.7686	0.79
10	0.8889	0.7879	0.7206	0.691	0.8051	0.7787
SD	0.0282	0.0322	0.035	0.0416	0.0179	0.031
Average	0.894	0.7848	0.7302	0.7102	0.7811	0.7801

