	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9014	0.8216	0.789	0.7969	0.8194	0.8256
2	0.9087	0.8646	0.7855	0.8376	0.8135	0.842
3	0.9135	0.7994	0.7961	0.764	0.7868	0.812
4	0.8504	0.7618	0.7715	0.7946	0.7952	0.7947
5	0.9087	0.8328	0.7797	0.8097	0.7967	0.8255
6	0.9362	0.8419	0.7792	0.7419	0.8295	0.8257
7	0.9178	0.8138	0.6864	0.7533	0.8192	0.7981
8	0.9366	0.8004	0.7544	0.7866	0.794	0.8144
9	0.9392	0.8773	0.7668	0.7741	0.7946	0.8304
10	0.9102	0.8335	0.7855	0.7399	0.8478	0.8234
SD	0.0256	0.0335	0.0315	0.0313	0.0195	0.0283
Average	0.9123	0.8247	0.7694	0.7799	0.8097	0.8192

