	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.682	0.7295	0.7789	0.7443	0.7291	0.7328
2	0.5973	0.7351	0.7488	0.7531	0.6207	0.691
3	0.6955	0.7288	0.8128	0.7472	0.7031	0.7375
4	0.6358	0.6777	0.7631	0.7468	0.6997	0.7046
5	0.6058	0.7136	0.7477	0.6825	0.6907	0.6881
6	0.6461	0.7356	0.7217	0.6739	0.7572	0.7069
7	0.6094	0.7062	0.6756	0.6943	0.7114	0.6794
8	0.6707	0.6499	0.705	0.6561	0.6899	0.6743
9	0.7052	0.7468	0.7386	0.7115	0.6916	0.7187
10	0.6271	0.7145	0.6884	0.6287	0.7599	0.6837
SD	0.0389	0.0297	0.0419	0.0437	0.0396	0.0388
Average	0.6475	0.7138	0.7381	0.7038	0.7053	0.7017

