	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0222	-0.0261	-0.0374	-0.0526	-0.0216	-0.032
2	-0.0211	-0.0534	-0.0756	-0.0859	-0.0265	-0.0525
3	-0.0243	-0.0307	-0.0431	-0.0993	-0.0322	-0.0459
4	-0.0184	-0.042	-0.0647	-0.1007	-0.0228	-0.0497
5	-0.0225	-0.0497	-0.0509	-0.0443	-0.0265	-0.0388
6	-0.0285	-0.0425	-0.0683	-0.055	-0.0246	-0.0438
7	-0.0155	-0.0479	-0.0537	-0.0914	-0.0264	-0.047
8	-0.0055	-0.0384	-0.0346	-0.0359	-0.0285	-0.0286
9	-0.013	-0.0444	-0.046	-0.0894	-0.0264	-0.0438
10	-0.0228	-0.0467	-0.0525	-0.0574	-0.0437	-0.0446
SD	0.0019	-0.0025	0.0035	0.0099	-0.0019	0.0022
Average	-0.0194	-0.0422	-0.0527	-0.0712	-0.0279	-0.0426

