	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0016	-0.0054	-0.0163	0.0001	0.0016	-0.0044
2	-0.0002	-0.0045	-0.0146	-0.0013	0.0076	-0.0026
3	-0.0029	0.0047	-0.0305	0.0042	0.0019	-0.0045
4	0.002	0.0004	-0.0184	-0.0017	-0.0002	-0.0036
5	-0.0034	-0.0009	-0.0186	-0.0064	-0.0007	-0.006
6	0.0002	-0.004	0.0035	-0.0005	-0.0005	-0.0003
7	-0.0026	-0.0011	-0.0218	-0.0007	-0.0006	-0.0054
8	-0.0003	-0.0084	-0.0132	-0.0048	-0.0008	-0.0055
9	-0.0012	-0.0023	-0.0175	0.0042	-0.0004	-0.0034
10	-0.0015	-0.0011	0.0124	-0.0085	-0.001	0.0001
SD	-0.0007	-0.0012	0.0	-0.0004	-0.0003	-0.0005
Average	-0.0011	-0.0023	-0.0135	-0.0015	0.0007	-0.0035

