	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.221	-0.0975	-0.0264	-0.0525	-0.0887	-0.0972
2	-0.3116	-0.134	-0.0513	-0.0858	-0.1852	-0.1536
3	-0.2209	-0.0659	-0.0138	-0.0126	-0.0818	-0.079
4	-0.2126	-0.0837	-0.0268	-0.0495	-0.0957	-0.0937
5	-0.3063	-0.1201	-0.0506	-0.1336	-0.1067	-0.1434
6	-0.2899	-0.1103	-0.054	-0.0685	-0.0728	-0.1191
7	-0.311	-0.1087	-0.0326	-0.0597	-0.1084	-0.1241
8	-0.2662	-0.1589	-0.0626	-0.1353	-0.1049	-0.1456
9	-0.2352	-0.1328	-0.0457	-0.0584	-0.1034	-0.1151
10	-0.2846	-0.1201	-0.0847	-0.1197	-0.0889	-0.1396
SD	0.0126	-0.005	0.0104	0.012	0.0198	0.01
Average	-0.2659	-0.1132	-0.0448	-0.0776	-0.1037	-0.121

