	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.903	0.827	0.8053	0.7968	0.8178	0.83
2	0.9089	0.8691	0.8001	0.8389	0.8059	0.8446
3	0.9164	0.7947	0.8266	0.7598	0.7849	0.8165
4	0.8484	0.7614	0.7899	0.7963	0.7954	0.7983
5	0.9121	0.8337	0.7983	0.8161	0.7974	0.8315
6	0.936	0.8459	0.7757	0.7424	0.83	0.826
7	0.9204	0.8149	0.7082	0.754	0.8198	0.8035
8	0.9369	0.8088	0.7676	0.7914	0.7948	0.8199
9	0.9404	0.8796	0.7843	0.7699	0.795	0.8338
10	0.9117	0.8346	0.7731	0.7484	0.8488	0.8233
SD	0.0263	0.0347	0.0315	0.0317	0.0198	0.0288
Average	0.9134	0.827	0.7829	0.7814	0.809	0.8227

