	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9317	0.718	0.8096	0.8449	0.6824	0.7973
2	0.92	0.7147	0.7546	0.7727	0.6785	0.7681
3	0.8877	0.7431	0.7791	0.8442	0.6512	0.7811
4	0.909	0.7158	0.7056	0.7987	0.5903	0.7439
5	0.9131	0.7746	0.7713	0.7748	0.6454	0.7758
6	0.928	0.743	0.7645	0.7868	0.6625	0.777
7	0.9136	0.7535	0.8079	0.7663	0.6413	0.7765
8	0.9308	0.7764	0.7768	0.6976	0.6971	0.7758
9	0.9078	0.6531	0.6985	0.7243	0.6297	0.7227
10	0.9337	0.7096	0.6853	0.7277	0.6143	0.7341
SD	0.0143	0.0364	0.0443	0.0486	0.0326	0.0353
Average	0.9175	0.7302	0.7553	0.7738	0.6493	0.7652
