	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9541	0.8056	0.8081	0.835	0.7105	0.8227
2	0.9206	0.7949	0.7293	0.79	0.6685	0.7807
3	0.9156	0.7984	0.7937	0.8649	0.6779	0.8101
4	0.9265	0.8185	0.6679	0.8124	0.6063	0.7663
5	0.9357	0.8449	0.7545	0.7936	0.6285	0.7914
6	0.9553	0.8214	0.7324	0.8614	0.6913	0.8124
7	0.9418	0.8089	0.7638	0.7291	0.6688	0.7825
8	0.9519	0.86	0.7794	0.7947	0.6937	0.8159
9	0.925	0.7363	0.6868	0.7659	0.6376	0.7503
10	0.9569	0.7981	0.7022	0.8077	0.6236	0.7777
SD	0.0158	0.0331	0.0465	0.0415	0.0347	0.0343
Average	0.9383	0.8087	0.7418	0.8055	0.6607	0.791
